,RMNH.INS.1271298_An_messeae - ND2 gene,RMNH.INS.1271299_An_messeae - ND2 gene,RMNH.INS.1271300_An_messeae - ND2 gene,RMNH.INS.1271301_Cq_richiardii - ND2 gene,RMNH.INS.1271302_Cq_richiardii - ND2 gene,RMNH.INS.1271303_Cq_richiardii - ND2 gene,RMNH.INS.1271304_Ae_vexans - ND2 gene,RMNH.INS.1271305_Ae_vexans - ND2 gene,RMNH.INS.1271306_Ae_vexans - ND2 gene,RMNH.INS.1271307_Cs_annulata - ND2 gene,RMNH.INS.1271308_Cs_annulata - ND2 gene,RMNH.INS.1271309_Cs_annulata - ND2 gene,RMNH.INS.1271310_An_claviger - ND2 gene,RMNH.INS.1271311_An_claviger - ND2 gene,RMNH.INS.1271312_An_claviger - ND2 gene,RMNH.INS.1271313_Cx_modestus - ND2 gene,RMNH.INS.1271314_Cx_modestus - ND2 gene,RMNH.INS.1271315_Cx_modestus - ND2 gene,RMNH.INS.1271316_Cx_territans - ND2 gene,RMNH.INS.1271317_Cx_territans - ND2 gene,RMNH.INS.1271318_Cx_territans - ND2 gene,RMNH.INS.1271319_Ae_cinereus - ND2 gene,RMNH.INS.1271320_Ae_cinereus - ND2 gene,RMNH.INS.1271321_Ae_cinereus - ND2 gene,RMNH.INS.1271322_Cs_longiareolata - ND2 gene,RMNH.INS.1271323_Cs_longiareolata - ND2 gene,RMNH.INS.1271324_Cs_longiareolata - ND2 gene,RMNH.INS.1271325_Ae_annulipes_cantans - ND2 gene,RMNH.INS.1271326_Ae_annulipes_cantans - ND2 gene,RMNH.INS.1271327_Ae_annulipes_cantans - ND2 gene,RMNH.INS.1271328_Ae_annulipes_cantans - ND2 gene,RMNH.INS.1271329_Ae_annulipes_cantans - ND2 gene,RMNH.INS.1271330_Ae_annulipes_cantans - ND2 gene,RMNH.INS.1271331_Ae_rusticus - ND2 gene,RMNH.INS.1271332_Ae_rusticus - ND2 gene,RMNH.INS.1271333_Ae_rusticus - ND2 gene,RMNH.INS.1271334_Ae_communis - ND2 gene,RMNH.INS.1271335_Ae_communis - ND2 gene,RMNH.INS.1271336_Ae_communis - ND2 gene,RMNH.INS.1271337_Ae_punctor - ND2 gene,RMNH.INS.1271338_Ae_rusticus - ND2 gene,RMNH.INS.1271339_Ae_punctor - ND2 gene,RMNH.INS.1271340_Ae_geniculatus - ND2 gene,RMNH.INS.1271341_Ae_geniculatus - ND2 gene,RMNH.INS.1271342_Ae_geniculatus - ND2 gene,RMNH.INS.1271344_Cs_subochrea - ND2 gene,RMNH.INS.1271345_Cs_annulata - ND2 gene,RMNH.INS.1271346_Ae_caspius - ND2 gene,RMNH.INS.1271347_Ae_caspius - ND2 gene,RMNH.INS.1271348_Ae_caspius - ND2 gene,RMNH.INS.1271349_An_plumbeus_partial_genome - ND2 gene,RMNH.INS.1271350_An_plumbeus_partial_genome - ND2 gene,RMNH.INS.1271351_An_plumbeus_partial_genome - ND2 gene,RMNH.INS.1271352_Cs_annulata - ND2 gene,RMNH.INS.1271354_Cs_annulata - ND2 gene,RMNH.INS.1271355_Cx_pipiens - ND2 gene,RMNH.INS.1271356_Cx_pipiens - ND2 gene,RMNH.INS.1271357_Cx_pipiens - ND2 gene,RMNH.INS.1271358_Cs_morsitans - ND2 gene,RMNH.INS.1271359_Cs_morsitans - ND2 gene,RMNH.INS.1271360_Cs_morsitans - ND2 gene,RMNH.INS.1271361_Ae_sticticus - ND2 gene,RMNH.INS.1271362_Ae_sticticus - ND2 gene,RMNH.INS.1271363_Ae_sticticus - ND2 gene,RMNH.INS.1271367_Ae_detritus - ND2 gene,RMNH.INS.1271368_Ae_detritus - ND2 gene,RMNH.INS.1271369_Ae_caspius - ND2 gene,RMNH.INS.1271370_Ae_flavescens - ND2 gene,RMNH.INS.1271371_Ae_flavescens - ND2 gene,RMNH.INS.1271372_Ae_flavescens - ND2 gene,RMNH.INS.1271375_Ae_leucomelas - ND2 gene,RMNH.INS.1271376_Ae_albopictus - ND2 gene,RMNH.INS.1271377_Ae_albopictus - ND2 gene,RMNH.INS.1271378_Ae_albopictus - ND2 gene,RMNH.INS.1271379_Ae_japonicus - ND2 gene,RMNH.INS.1271380_Ae_japonicus - ND2 gene,RMNH.INS.1271381_Ae_japonicus - ND2 gene,RMNH.INS.1271382_Ae_aegypti - ND2 gene,RMNH.INS.1271383_Ae_aegypti - ND2 gene,RMNH.INS.1271384_Ae_aegypti - ND2 gene,RMNH.INS.1271386_Ae_cinereus - ND2 gene,RMNH.INS.1271389_Cs_ochroptera - ND2 gene
RMNH.INS.1271308_Cs_annulata - ND2 gene,80.897,81.092,80.661,84.308,84.405,84.308,86.452,86.355,86.55,99.708,,100,80.604,80.702,80.604,86.062,85.77,85.965,84.211,84.211,84.405,85.95,85.95,85.95,88.402,88.402,88.402,86.94,86.647,86.55,86.94,86.842,86.842,86.16,86.16,86.16,86.55,86.647,86.452,84.016,86.16,84.016,87.329,87.329,87.329,95.127,100,89.279,89.279,89.279,80.019,80.019,80.019,100,100,84.893,84.795,84.795,88.304,88.207,88.207,86.355,86.16,86.355,87.135,87.135,89.279,87.427,87.427,87.232,85.77,85.867,85.867,85.965,86.647,86.647,86.842,85.575,86.062,85.77,86.047,89.376
RMNH.INS.1271309_Cs_annulata - ND2 gene,80.897,81.092,80.661,84.308,84.405,84.308,86.452,86.355,86.55,99.708,100,,80.604,80.702,80.604,86.062,85.77,85.965,84.211,84.211,84.405,85.95,85.95,85.95,88.402,88.402,88.402,86.94,86.647,86.55,86.94,86.842,86.842,86.16,86.16,86.16,86.55,86.647,86.452,84.016,86.16,84.016,87.329,87.329,87.329,95.127,100,89.279,89.279,89.279,80.019,80.019,80.019,100,100,84.893,84.795,84.795,88.304,88.207,88.207,86.355,86.16,86.355,87.135,87.135,89.279,87.427,87.427,87.232,85.77,85.867,85.867,85.965,86.647,86.647,86.842,85.575,86.062,85.77,86.047,89.376
RMNH.INS.1271310_An_claviger - ND2 gene,88.596,88.889,88.241,80.019,79.922,80.019,80.214,80.312,80.312,80.897,80.604,80.604,,99.903,100,80.897,80.214,80.409,79.63,79.532,79.825,79.748,79.651,79.748,81.189,81.189,81.189,81.189,80.799,81.189,81.189,81.189,80.994,81.384,81.384,81.384,79.727,79.825,79.825,78.265,81.384,78.265,81.287,81.287,81.287,79.435,80.604,81.774,81.579,81.579,88.499,88.499,88.499,80.604,80.604,80.409,80.507,80.507,80.409,80.507,80.507,79.337,79.142,79.24,80.897,81.384,81.579,80.799,80.799,80.702,80.019,82.651,82.651,82.749,80.507,80.507,80.604,80.312,80.604,80.409,79.748,80.994
RMNH.INS.1271311_An_claviger - ND2 gene,88.694,88.986,88.338,80.019,79.922,80.019,80.312,80.409,80.409,80.994,80.702,80.702,99.903,,99.903,80.994,80.312,80.507,79.727,79.63,79.922,79.845,79.748,79.845,81.287,81.287,81.287,81.287,80.897,81.287,81.287,81.287,81.092,81.481,81.481,81.481,79.825,79.922,79.922,78.363,81.481,78.363,81.384,81.384,81.384,79.532,80.702,81.871,81.676,81.676,88.596,88.596,88.596,80.702,80.702,80.507,80.604,80.604,80.507,80.604,80.604,79.435,79.24,79.337,80.799,81.287,81.676,80.897,80.897,80.799,80.117,82.749,82.749,82.846,80.604,80.604,80.702,80.312,80.604,80.409,79.845,81.092
RMNH.INS.1271312_An_claviger - ND2 gene,88.596,88.889,88.241,80.019,79.922,80.019,80.214,80.312,80.312,80.897,80.604,80.604,100,99.903,,80.897,80.214,80.409,79.63,79.532,79.825,79.748,79.651,79.748,81.189,81.189,81.189,81.189,80.799,81.189,81.189,81.189,80.994,81.384,81.384,81.384,79.727,79.825,79.825,78.265,81.384,78.265,81.287,81.287,81.287,79.435,80.604,81.774,81.579,81.579,88.499,88.499,88.499,80.604,80.604,80.409,80.507,80.507,80.409,80.507,80.507,79.337,79.142,79.24,80.897,81.384,81.579,80.799,80.799,80.702,80.019,82.651,82.651,82.749,80.507,80.507,80.604,80.312,80.604,80.409,79.748,80.994
RMNH.INS.1271313_Cx_modestus - ND2 gene,79.142,79.435,79.009,83.821,83.723,83.626,86.257,86.355,86.355,86.257,86.062,86.062,80.897,80.994,80.897,,98.436,98.729,89.052,89.052,89.247,84.981,84.981,84.981,83.821,83.821,83.821,86.16,85.965,86.257,86.355,86.452,86.452,85.867,85.867,85.867,85.965,85.867,85.867,83.236,85.867,83.236,87.524,87.524,87.524,85.38,86.062,88.109,88.109,88.109,78.363,78.363,78.363,86.062,86.062,92.18,92.082,92.082,86.55,86.452,86.452,85.283,85.283,85.38,85.185,85.575,88.109,86.355,86.355,86.355,85.575,85.965,85.965,86.062,85.478,85.478,85.575,85.185,85.77,85.38,85.174,86.55
RMNH.INS.1271314_Cx_modestus - ND2 gene,79.045,79.142,78.717,83.723,83.626,83.528,85.77,85.673,85.673,85.965,85.77,85.77,80.214,80.312,80.214,98.436,,99.707,88.759,88.759,88.954,84.593,84.593,84.593,83.821,83.821,83.821,85.77,85.575,85.673,85.965,86.062,86.062,85.088,85.088,85.088,85.38,85.088,85.283,83.041,85.088,83.041,86.452,86.452,86.452,84.99,85.77,87.135,87.135,87.135,78.168,78.168,78.168,85.77,85.77,91.984,91.887,91.887,86.062,85.965,85.965,84.893,84.698,84.795,84.795,85.185,87.135,86.16,86.16,86.16,84.893,85.673,85.673,85.77,85.478,85.478,85.575,84.893,85.478,85.088,84.787,86.16
RMNH.INS.1271315_Cx_modestus - ND2 gene,79.24,79.337,78.912,83.918,83.821,83.723,85.77,85.673,85.867,86.16,85.965,85.965,80.409,80.507,80.409,98.729,99.707,,88.954,88.954,89.15,84.787,84.787,84.787,83.918,83.918,83.918,85.965,85.77,85.867,86.16,86.257,86.257,85.283,85.283,85.283,85.38,85.283,85.283,83.041,85.283,83.041,86.647,86.647,86.647,85.185,85.965,87.427,87.427,87.427,78.363,78.363,78.363,85.965,85.965,92.278,92.18,92.18,86.257,86.16,86.16,85.088,84.893,84.99,84.99,85.38,87.427,86.355,86.355,86.355,85.185,85.867,85.867,85.965,85.673,85.673,85.575,85.088,85.673,85.283,84.981,86.355
RMNH.INS.1271316_Cx_territans - ND2 gene,78.265,78.558,78.134,82.749,82.651,82.749,84.893,84.795,84.99,84.308,84.211,84.211,79.63,79.727,79.63,89.052,88.759,88.954,,99.902,99.804,84.593,84.496,84.593,83.821,83.821,83.821,85.185,85.38,85.283,85.38,85.673,85.478,85.283,85.283,85.283,84.6,84.503,84.503,84.113,85.283,84.113,86.16,86.16,86.16,84.113,84.211,85.77,85.77,85.77,78.168,78.168,78.168,84.211,84.211,89.736,89.834,89.638,85.77,85.867,85.867,85.185,85.185,85.283,85.088,85.088,85.77,85.575,85.575,85.575,84.211,85.38,85.38,85.478,84.308,84.308,84.405,84.893,84.893,84.698,84.399,85.478
RMNH.INS.1271317_Cx_territans - ND2 gene,78.168,78.46,78.037,82.651,82.554,82.651,84.893,84.795,84.99,84.308,84.211,84.211,79.532,79.63,79.532,89.052,88.759,88.954,99.902,,99.707,84.593,84.496,84.593,83.821,83.821,83.821,85.185,85.38,85.283,85.38,85.673,85.478,85.283,85.283,85.283,84.6,84.503,84.503,84.113,85.283,84.113,86.16,86.16,86.16,84.113,84.211,85.77,85.77,85.77,78.07,78.07,78.07,84.211,84.211,89.638,89.736,89.541,85.77,85.867,85.867,85.185,85.185,85.283,85.088,85.088,85.77,85.575,85.575,85.575,84.211,85.283,85.283,85.38,84.308,84.308,84.405,84.893,84.893,84.698,84.399,85.478
RMNH.INS.1271318_Cx_territans - ND2 gene,78.46,78.752,78.328,82.943,82.846,82.943,85.088,84.99,85.185,84.503,84.405,84.405,79.825,79.922,79.825,89.247,88.954,89.15,99.804,99.707,,84.787,84.69,84.787,84.016,84.016,84.016,85.283,85.478,85.38,85.478,85.77,85.575,85.478,85.478,85.478,84.795,84.698,84.698,84.113,85.478,84.113,86.16,86.16,86.16,84.308,84.405,85.965,85.965,85.965,78.07,78.07,78.07,84.405,84.405,89.932,90.029,89.834,85.965,86.062,86.062,85.38,85.38,85.478,85.185,85.185,85.965,85.673,85.673,85.673,84.211,85.575,85.575,85.673,84.503,84.503,84.6,84.99,84.99,84.795,84.593,85.478
RMNH.INS.1271319_Ae_cinereus - ND2 gene,78.973,79.167,78.937,81.977,81.88,81.88,91.085,90.988,91.182,86.24,85.95,85.95,79.748,79.845,79.748,84.981,84.593,84.787,84.593,84.593,84.787,,99.806,100,84.69,84.69,84.69,88.275,88.081,88.178,88.469,88.372,88.178,88.469,88.469,88.469,88.566,88.663,88.663,86.143,88.469,86.143,89.438,89.438,89.438,85.368,85.95,89.826,90.019,90.019,78.295,78.295,78.295,85.95,85.95,84.981,85.078,85.078,84.981,85.078,85.078,88.566,88.372,88.566,87.888,88.275,90.019,87.888,87.888,87.888,87.209,87.209,87.209,87.306,87.597,87.597,87.597,87.888,88.275,87.984,99.806,87.306
RMNH.INS.1271320_Ae_cinereus - ND2 gene,78.973,79.167,78.937,81.977,81.88,81.88,91.085,90.988,91.182,86.24,85.95,85.95,79.651,79.748,79.651,84.981,84.593,84.787,84.496,84.496,84.69,99.806,,99.806,84.593,84.593,84.593,88.275,88.081,88.178,88.469,88.372,88.178,88.372,88.372,88.372,88.566,88.663,88.663,86.143,88.372,86.143,89.341,89.341,89.341,85.368,85.95,89.826,90.019,90.019,78.295,78.295,78.295,85.95,85.95,84.884,84.981,84.981,84.981,85.078,85.078,88.372,88.178,88.372,87.694,88.081,90.019,87.888,87.888,87.888,87.112,87.112,87.112,87.209,87.597,87.597,87.597,87.888,88.275,87.984,99.612,87.306
RMNH.INS.1271321_Ae_cinereus - ND2 gene,78.973,79.167,78.937,81.977,81.88,81.88,91.085,90.988,91.182,86.24,85.95,85.95,79.748,79.845,79.748,84.981,84.593,84.787,84.593,84.593,84.787,100,99.806,,84.69,84.69,84.69,88.275,88.081,88.178,88.469,88.372,88.178,88.469,88.469,88.469,88.566,88.663,88.663,86.143,88.469,86.143,89.438,89.438,89.438,85.368,85.95,89.826,90.019,90.019,78.295,78.295,78.295,85.95,85.95,84.981,85.078,85.078,84.981,85.078,85.078,88.566,88.372,88.566,87.888,88.275,90.019,87.888,87.888,87.888,87.209,87.209,87.209,87.306,87.597,87.597,87.597,87.888,88.275,87.984,99.806,87.306
RMNH.INS.1271322_Cs_longiareolata - ND2 gene,79.435,79.532,79.3,84.113,84.211,84.211,85.185,85.283,85.283,88.694,88.402,88.402,81.189,81.287,81.189,83.821,83.821,83.918,83.821,83.821,84.016,84.69,84.593,84.69,,100,100,86.16,85.575,85.77,85.965,86.16,85.965,85.38,85.38,85.38,84.405,84.405,84.503,82.943,85.38,82.943,86.452,86.452,86.452,87.232,88.402,87.037,87.037,87.037,78.752,78.752,78.752,88.402,88.402,83.821,83.918,83.918,87.037,86.94,86.94,84.99,84.795,84.99,85.867,85.867,87.037,85.478,85.478,85.185,84.503,84.405,84.405,84.503,85.77,85.77,85.867,84.698,84.795,84.893,84.884,87.232
RMNH.INS.1271323_Cs_longiareolata - ND2 gene,79.435,79.532,79.3,84.113,84.211,84.211,85.185,85.283,85.283,88.694,88.402,88.402,81.189,81.287,81.189,83.821,83.821,83.918,83.821,83.821,84.016,84.69,84.593,84.69,100,,100,86.16,85.575,85.77,85.965,86.16,85.965,85.38,85.38,85.38,84.405,84.405,84.503,82.943,85.38,82.943,86.452,86.452,86.452,87.232,88.402,87.037,87.037,87.037,78.752,78.752,78.752,88.402,88.402,83.821,83.918,83.918,87.037,86.94,86.94,84.99,84.795,84.99,85.867,85.867,87.037,85.478,85.478,85.185,84.503,84.405,84.405,84.503,85.77,85.77,85.867,84.698,84.795,84.893,84.884,87.232
