,RMNH.INS.1271298_An_messeae - ATP6 gene,RMNH.INS.1271299_An_messeae - ATP6 gene,RMNH.INS.1271300_An_messeae - ATP6 gene,RMNH.INS.1271301_Cq_richiardii - ATP6 gene,RMNH.INS.1271302_Cq_richiardii - ATP6 gene,RMNH.INS.1271303_Cq_richiardii - ATP6 gene,RMNH.INS.1271304_Ae_vexans - ATP6 gene,RMNH.INS.1271305_Ae_vexans - ATP6 gene,RMNH.INS.1271306_Ae_vexans - ATP6 gene,RMNH.INS.1271307_Cs_annulata - ATP6 gene,RMNH.INS.1271308_Cs_annulata - ATP6 gene,RMNH.INS.1271309_Cs_annulata - ATP6 gene,RMNH.INS.1271310_An_claviger - ATP6 gene,RMNH.INS.1271311_An_claviger - ATP6 gene,RMNH.INS.1271312_An_claviger - ATP6 gene,RMNH.INS.1271313_Cx_modestus - ATP6 gene,RMNH.INS.1271314_Cx_modestus - ATP6 gene,RMNH.INS.1271315_Cx_modestus - ATP6 gene,RMNH.INS.1271316_Cx_territans - ATP6 gene,RMNH.INS.1271317_Cx_territans - ATP6 gene,RMNH.INS.1271318_Cx_territans - ATP6 gene,RMNH.INS.1271319_Ae_cinereus - ATP6 gene,RMNH.INS.1271320_Ae_cinereus - ATP6 gene,RMNH.INS.1271321_Ae_cinereus - ATP6 gene,RMNH.INS.1271322_Cs_longiareolata - ATP6 gene,RMNH.INS.1271323_Cs_longiareolata - ATP6 gene,RMNH.INS.1271324_Cs_longiareolata - ATP6 gene,RMNH.INS.1271325_Ae_annulipes_cantans - ATP6 gene,RMNH.INS.1271326_Ae_annulipes_cantans - ATP6 gene,RMNH.INS.1271327_Ae_annulipes_cantans - ATP6 gene,RMNH.INS.1271328_Ae_annulipes_cantans - ATP6 gene,RMNH.INS.1271329_Ae_annulipes_cantans - ATP6 gene,RMNH.INS.1271330_Ae_annulipes_cantans - ATP6 gene,RMNH.INS.1271331_Ae_rusticus - ATP6 gene,RMNH.INS.1271332_Ae_rusticus - ATP6 gene,RMNH.INS.1271333_Ae_rusticus - ATP6 gene,RMNH.INS.1271334_Ae_communis - ATP6 gene,RMNH.INS.1271335_Ae_communis - ATP6 gene,RMNH.INS.1271336_Ae_communis - ATP6 gene,RMNH.INS.1271337_Ae_punctor - ATP6 gene,RMNH.INS.1271338_Ae_rusticus - ATP6 gene,RMNH.INS.1271339_Ae_punctor - ATP6 gene,RMNH.INS.1271340_Ae_geniculatus - ATP6 gene,RMNH.INS.1271341_Ae_geniculatus - ATP6 gene,RMNH.INS.1271342_Ae_geniculatus - ATP6 gene,RMNH.INS.1271344_Cs_subochrea - ATP6 gene,RMNH.INS.1271345_Cs_annulata - ATP6 gene,RMNH.INS.1271346_Ae_caspius - ATP6 gene,RMNH.INS.1271347_Ae_caspius - ATP6 gene,RMNH.INS.1271348_Ae_caspius - ATP6 gene,RMNH.INS.1271349_An_plumbeus_partial_genome - ATP6 gene,RMNH.INS.1271350_An_plumbeus_partial_genome - ATP6 gene,RMNH.INS.1271351_An_plumbeus_partial_genome - ATP6 gene,RMNH.INS.1271352_Cs_annulata - ATP6 gene,RMNH.INS.1271354_Cs_annulata - ATP6 gene,RMNH.INS.1271355_Cx_pipiens - ATP6 gene,RMNH.INS.1271356_Cx_pipiens - ATP6 gene,RMNH.INS.1271357_Cx_pipiens - ATP6 gene,RMNH.INS.1271358_Cs_morsitans - ATP6 gene,RMNH.INS.1271359_Cs_morsitans - ATP6 gene,RMNH.INS.1271360_Cs_morsitans - ATP6 gene,RMNH.INS.1271361_Ae_sticticus - ATP6 gene,RMNH.INS.1271362_Ae_sticticus - ATP6 gene,RMNH.INS.1271363_Ae_sticticus - ATP6 gene,RMNH.INS.1271367_Ae_detritus - ATP6 gene,RMNH.INS.1271368_Ae_detritus - ATP6 gene,RMNH.INS.1271369_Ae_caspius - ATP6 gene,RMNH.INS.1271370_Ae_flavescens - ATP6 gene,RMNH.INS.1271371_Ae_flavescens - ATP6 gene,RMNH.INS.1271372_Ae_flavescens - ATP6 gene,RMNH.INS.1271375_Ae_leucomelas - ATP6 gene,RMNH.INS.1271376_Ae_albopictus - ATP6 gene,RMNH.INS.1271377_Ae_albopictus - ATP6 gene,RMNH.INS.1271378_Ae_albopictus - ATP6 gene,RMNH.INS.1271379_Ae_japonicus - ATP6 gene,RMNH.INS.1271380_Ae_japonicus - ATP6 gene,RMNH.INS.1271381_Ae_japonicus - ATP6 gene,RMNH.INS.1271382_Ae_aegypti - ATP6 gene,RMNH.INS.1271383_Ae_aegypti - ATP6 gene,RMNH.INS.1271384_Ae_aegypti - ATP6 gene,RMNH.INS.1271386_Ae_cinereus - ATP6 gene,RMNH.INS.1271389_Cs_ochroptera - ATP6 gene
RMNH.INS.1271308_Cs_annulata - ATP6 gene,87.372,87.812,87.665,85.022,84.875,85.169,88.987,88.546,88.84,100,,100,87.078,87.518,87.518,89.427,89.134,88.84,88.84,88.84,88.693,86.637,86.784,86.931,87.665,87.665,87.665,89.868,89.574,89.574,89.721,89.721,90.162,90.308,90.308,90.308,89.574,89.574,89.427,88.399,90.308,88.399,89.868,89.721,89.868,97.797,100,88.693,88.399,88.693,87.225,87.078,87.225,100,100,87.665,87.665,87.665,89.28,89.28,89.427,86.931,87.225,86.784,89.574,88.84,88.399,89.427,89.427,89.427,89.721,87.372,87.372,87.372,87.812,87.812,87.665,88.253,87.812,88.106,86.49,88.399
RMNH.INS.1271309_Cs_annulata - ATP6 gene,87.372,87.812,87.665,85.022,84.875,85.169,88.987,88.546,88.84,100,100,,87.078,87.518,87.518,89.427,89.134,88.84,88.84,88.84,88.693,86.637,86.784,86.931,87.665,87.665,87.665,89.868,89.574,89.574,89.721,89.721,90.162,90.308,90.308,90.308,89.574,89.574,89.427,88.399,90.308,88.399,89.868,89.721,89.868,97.797,100,88.693,88.399,88.693,87.225,87.078,87.225,100,100,87.665,87.665,87.665,89.28,89.28,89.427,86.931,87.225,86.784,89.574,88.84,88.399,89.427,89.427,89.427,89.721,87.372,87.372,87.372,87.812,87.812,87.665,88.253,87.812,88.106,86.49,88.399
RMNH.INS.1271310_An_claviger - ATP6 gene,89.134,89.574,89.28,83.26,83.26,83.26,85.903,85.756,86.05,87.078,87.078,87.078,,99.559,99.266,86.637,86.197,85.463,86.49,86.49,86.344,83.994,84.141,83.994,84.435,84.435,84.435,86.344,86.344,86.05,86.197,86.197,86.49,86.49,86.49,86.49,85.903,85.903,85.756,85.463,86.49,85.463,86.637,86.49,86.637,87.078,87.078,86.49,86.344,86.637,87.959,87.812,87.959,87.078,87.078,86.197,86.197,86.197,87.665,87.665,87.812,85.022,85.316,85.169,86.344,85.903,86.344,86.344,86.344,86.197,86.344,83.994,83.994,84.288,86.05,86.05,85.756,86.05,84.728,85.609,83.7,86.197
RMNH.INS.1271311_An_claviger - ATP6 gene,89.134,89.574,89.28,83.7,83.7,83.7,86.344,86.197,86.49,87.518,87.518,87.518,99.559,,99.413,86.931,86.49,85.756,86.931,86.931,86.784,84.435,84.581,84.435,84.875,84.875,84.875,86.784,86.784,86.49,86.637,86.637,86.931,86.637,86.637,86.637,86.344,86.344,86.197,85.903,86.637,85.903,87.078,86.931,87.078,87.518,87.518,86.931,86.784,87.078,88.399,88.253,88.399,87.518,87.518,86.49,86.49,86.49,88.106,88.106,88.253,85.316,85.609,85.463,86.784,86.344,86.784,86.784,86.784,86.637,86.784,84.435,84.435,84.728,86.05,86.05,85.756,86.197,85.169,85.756,84.141,86.49
RMNH.INS.1271312_An_claviger - ATP6 gene,89.28,89.721,89.427,83.554,83.554,83.554,86.05,85.903,86.197,87.518,87.518,87.518,99.266,99.413,,86.784,86.344,85.609,86.784,86.784,86.637,84.288,84.435,84.288,84.728,84.728,84.728,86.784,86.784,86.49,86.637,86.637,86.931,86.637,86.637,86.637,86.344,86.344,86.197,85.756,86.637,85.756,86.931,86.784,86.931,87.518,87.518,86.931,86.784,87.078,88.399,88.253,88.399,87.518,87.518,86.637,86.637,86.637,88.106,88.106,88.253,85.463,85.756,85.316,86.637,86.197,86.784,86.784,86.784,86.637,86.784,84.288,84.288,84.581,86.05,86.05,85.756,86.05,85.022,85.609,83.994,86.637
RMNH.INS.1271313_Cx_modestus - ATP6 gene,85.756,86.05,85.756,84.288,84.141,84.141,89.28,89.28,89.427,89.427,89.427,89.427,86.637,86.931,86.784,,98.825,98.385,90.308,90.308,90.162,88.106,88.253,88.399,86.784,86.784,86.784,90.015,90.162,90.015,90.162,90.308,90.455,90.308,90.308,90.308,88.693,88.693,88.546,88.987,90.308,88.987,89.868,89.721,89.868,88.84,89.427,90.896,90.602,90.896,86.344,86.197,86.344,89.427,89.427,93.098,93.098,93.098,88.399,88.399,88.546,86.931,87.225,87.078,88.987,88.546,90.602,90.015,90.015,90.015,89.868,86.637,86.637,86.49,88.546,88.546,88.399,90.162,89.721,89.868,87.665,88.546
RMNH.INS.1271314_Cx_modestus - ATP6 gene,85.316,85.609,85.463,83.7,83.554,83.554,88.84,88.84,88.987,89.134,89.134,89.134,86.197,86.49,86.344,98.825,,98.678,89.868,89.868,89.721,87.959,88.106,88.253,86.197,86.197,86.197,89.427,89.574,89.427,89.574,89.868,89.721,89.574,89.574,89.574,88.106,88.106,87.959,88.693,89.574,88.693,89.28,89.134,89.28,88.253,89.134,90.162,89.868,90.162,85.756,85.609,85.756,89.134,89.134,92.805,92.805,92.805,87.812,87.812,87.959,86.931,87.225,87.078,88.693,88.253,89.868,89.574,89.574,89.574,89.427,86.197,86.197,86.05,88.253,88.253,87.812,89.721,88.987,89.427,87.518,88.253
RMNH.INS.1271315_Cx_modestus - ATP6 gene,84.435,85.022,84.581,83.26,83.113,83.113,87.959,87.959,88.106,88.84,88.84,88.84,85.463,85.756,85.609,98.385,98.678,,89.427,89.427,89.28,87.518,87.665,87.812,86.05,86.05,86.05,88.84,88.987,88.84,88.987,89.134,89.28,89.134,89.134,89.134,87.812,87.812,87.665,88.106,89.134,88.106,88.546,88.399,88.546,87.959,88.84,89.574,89.28,89.574,85.022,84.875,85.022,88.84,88.84,92.511,92.511,92.511,87.518,87.225,87.372,86.344,86.637,86.49,87.812,87.372,89.28,89.28,89.28,89.28,88.546,85.756,85.756,85.609,87.078,87.078,86.931,88.987,88.253,88.987,87.372,87.518
RMNH.INS.1271316_Cx_territans - ATP6 gene,86.05,86.637,86.197,86.637,86.49,86.637,88.693,88.399,88.693,88.84,88.84,88.84,86.49,86.931,86.784,90.308,89.868,89.427,,100,99.853,88.399,88.546,88.693,87.078,87.078,87.078,88.987,88.84,88.546,88.84,88.987,89.28,89.721,89.721,89.721,87.959,87.959,87.812,88.253,89.721,88.253,88.987,88.84,88.987,88.84,88.84,90.308,90.455,90.455,87.372,87.225,87.372,88.84,88.84,88.987,88.987,88.987,89.574,89.28,89.427,86.05,86.344,86.05,89.28,88.987,90.455,88.546,88.546,88.399,89.868,85.463,85.463,85.609,86.344,86.344,86.197,88.253,87.078,87.959,88.106,87.812
RMNH.INS.1271317_Cx_territans - ATP6 gene,86.05,86.637,86.197,86.637,86.49,86.637,88.693,88.399,88.693,88.84,88.84,88.84,86.49,86.931,86.784,90.308,89.868,89.427,100,,99.853,88.399,88.546,88.693,87.078,87.078,87.078,88.987,88.84,88.546,88.84,88.987,89.28,89.721,89.721,89.721,87.959,87.959,87.812,88.253,89.721,88.253,88.987,88.84,88.987,88.84,88.84,90.308,90.455,90.455,87.372,87.225,87.372,88.84,88.84,88.987,88.987,88.987,89.574,89.28,89.427,86.05,86.344,86.05,89.28,88.987,90.455,88.546,88.546,88.399,89.868,85.463,85.463,85.609,86.344,86.344,86.197,88.253,87.078,87.959,88.106,87.812
RMNH.INS.1271318_Cx_territans - ATP6 gene,85.903,86.49,86.05,86.49,86.344,86.49,88.546,88.253,88.546,88.693,88.693,88.693,86.344,86.784,86.637,90.162,89.721,89.28,99.853,99.853,,88.253,88.399,88.546,86.931,86.931,86.931,88.84,88.693,88.399,88.693,88.84,89.134,89.574,89.574,89.574,87.812,87.812,87.665,88.106,89.574,88.106,88.84,88.693,88.84,88.693,88.693,90.162,90.308,90.308,87.225,87.078,87.225,88.693,88.693,88.84,88.84,88.84,89.427,89.134,89.28,85.903,86.197,85.903,89.134,88.84,90.308,88.399,88.399,88.253,89.721,85.316,85.316,85.463,86.197,86.197,86.05,88.106,86.931,87.812,87.959,87.665
RMNH.INS.1271319_Ae_cinereus - ATP6 gene,83.7,83.994,83.847,83.407,83.113,83.113,90.308,90.308,90.455,86.637,86.637,86.637,83.994,84.435,84.288,88.106,87.959,87.518,88.399,88.399,88.253,,99.853,99.706,84.875,84.875,84.875,88.693,88.399,88.546,88.546,88.546,88.84,88.106,88.106,88.106,88.253,88.253,88.106,88.546,88.106,88.546,88.693,88.546,88.693,87.225,86.637,89.134,89.28,89.28,83.554,83.407,83.554,86.637,86.637,87.812,87.812,87.812,87.665,87.518,87.665,87.078,87.372,87.078,88.693,88.399,89.28,88.546,88.546,88.399,88.693,87.372,87.372,87.372,86.49,86.49,86.49,88.106,88.399,88.399,99.559,88.253
RMNH.INS.1271320_Ae_cinereus - ATP6 gene,83.847,84.141,83.994,83.407,83.113,83.113,90.455,90.455,90.602,86.784,86.784,86.784,84.141,84.581,84.435,88.253,88.106,87.665,88.546,88.546,88.399,99.853,,99.559,85.022,85.022,85.022,88.84,88.546,88.693,88.693,88.693,88.987,88.253,88.253,88.253,88.399,88.399,88.253,88.693,88.253,88.693,88.84,88.693,88.84,87.372,86.784,89.28,89.427,89.427,83.7,83.554,83.7,86.784,86.784,87.959,87.959,87.959,87.812,87.665,87.812,87.225,87.518,87.225,88.84,88.546,89.427,88.693,88.693,88.546,88.84,87.518,87.518,87.518,86.637,86.637,86.637,88.253,88.546,88.546,99.413,88.399
RMNH.INS.1271321_Ae_cinereus - ATP6 gene,83.554,83.847,83.7,83.26,83.113,83.113,90.602,90.602,90.749,86.931,86.931,86.931,83.994,84.435,84.288,88.399,88.253,87.812,88.693,88.693,88.546,99.706,99.559,,85.169,85.169,85.169,88.987,88.693,88.84,88.84,88.84,89.134,88.399,88.399,88.399,88.399,88.399,88.253,88.693,88.399,88.693,88.84,88.693,88.84,87.518,86.931,89.427,89.574,89.574,83.847,83.7,83.847,86.931,86.931,88.106,88.106,88.106,87.665,87.518,87.665,87.225,87.518,87.225,88.987,88.546,89.574,88.399,88.399,88.253,88.84,87.372,87.372,87.372,86.637,86.637,86.637,88.253,88.546,88.546,99.266,88.399
RMNH.INS.1271322_Cs_longiareolata - ATP6 gene,83.407,83.847,83.7,84.435,83.994,83.994,85.609,85.463,85.756,87.665,87.665,87.665,84.435,84.875,84.728,86.784,86.197,86.05,87.078,87.078,86.931,84.875,85.022,85.169,,100,100,86.931,86.931,86.637,86.784,86.784,87.078,88.84,88.84,88.84,86.197,86.197,86.05,86.344,88.84,86.344,86.197,86.05,86.197,87.372,87.665,86.637,86.784,86.784,83.847,83.994,83.847,87.665,87.665,86.49,86.49,86.49,87.518,87.518,87.372,84.141,84.435,84.141,85.756,85.316,86.784,87.225,87.225,87.078,86.637,84.875,84.875,84.728,84.581,84.581,84.288,85.756,85.609,86.197,84.581,86.637
RMNH.INS.1271323_Cs_longiareolata - ATP6 gene,83.407,83.847,83.7,84.435,83.994,83.994,85.609,85.463,85.756,87.665,87.665,87.665,84.435,84.875,84.728,86.784,86.197,86.05,87.078,87.078,86.931,84.875,85.022,85.169,100,,100,86.931,86.931,86.637,86.784,86.784,87.078,88.84,88.84,88.84,86.197,86.197,86.05,86.344,88.84,86.344,86.197,86.05,86.197,87.372,87.665,86.637,86.784,86.784,83.847,83.994,83.847,87.665,87.665,86.49,86.49,86.49,87.518,87.518,87.372,84.141,84.435,84.141,85.756,85.316,86.784,87.225,87.225,87.078,86.637,84.875,84.875,84.728,84.581,84.581,84.288,85.756,85.609,86.197,84.581,86.637
